speaker,ep_type,onset,sonority delta ,word,last sound ,age of English onset ,length of English residence ,age ,gender ,additonal language ,notes 
farsi1,none,pl,3,please,none,13,0.6,22,m,German,
farsi1,none,st,-1,stella ,[l],13,0.6,22,m,German,
farsi1,none,br,3,bring,[u],13,0.6,22,m,German,
farsi1,none,st,-1,store,[ə],13,0.6,22,m,German,
farsi1,none,sp,-1,spoons,[s],13,0.6,22,m,German,
farsi1,none,fr,2,fresh,[v],13,0.6,22,m,German,
farsi1,none,sn,1,snow ,[ʃ],13,0.6,22,m,German,
farsi1,none,sl,2,slabs,[k],13,0.6,22,m,German,
farsi1,none,bl,3,blue,[v],13,0.6,22,m,German,
farsi1,none,sn,1,snack ,[ə],13,0.6,22,m,German,
farsi1,none,br,3,brother,[ɚ],13,0.6,22,m,German,
farsi1,none,sm,1,small,[ə],13,0.6,22,m,German,
farsi1,none,pl,3,plastic ,[l],13,0.6,22,m,German,
farsi1,none,sn,1,snake,[k],13,0.6,22,m,German,
farsi1,none,fr,2,frog ,[ɔɪ],13,0.6,22,m,German,
farsi1,none,sc,-1,scoop,[n],13,0.6,22,m,German,
farsi1,none,θr,2,three ,[u],13,0.6,22,m,German,
farsi1,none,tr,3,train,[ə],13,0.6,22,m,German,
farsi1,none,st,-1,station,[n] ,13,0.6,22,m,German,
farsi 2,none,pl,3,please,none,18,1.5,34,f,none,
farsi 2,prothesis ,st,-1,stella ,[l],18,1.5,34,f,none,
farsi 2,none,br,3,bring,[u],18,1.5,34,f,none,
farsi 2,none,st,-1,store,[ə],18,1.5,34,f,none,
farsi 2,none,sp,-1,spoons,[s],18,1.5,34,f,none,
farsi 2,none,fr,2,fresh,[v],18,1.5,34,f,none,
farsi 2,none,sn,1,snow ,[ʃ],18,1.5,34,f,none,
farsi 2,none,sl,2,slabs,[k],18,1.5,34,f,none,
farsi 2,none,bl,3,blue,[v],18,1.5,34,f,none,
farsi 2,none,sn,1,snack ,[ə],18,1.5,34,f,none,
farsi 2,none,br,3,brother,[ɚ],18,1.5,34,f,none,
farsi 2,none,sm,1,small,[ə],18,1.5,34,f,none,
farsi 2,none,pl,3,plastic ,[l],18,1.5,34,f,none,
farsi 2,none,sn,1,snake,[k],18,1.5,34,f,none,
farsi 2,none,fr,2,frog ,[ɔɪ],18,1.5,34,f,none,
farsi 2,none,sc,-1,scoop,[n],18,1.5,34,f,none,
farsi 2,none,θr,2,three ,[u],18,1.5,34,f,none,
farsi 2,none,tr,3,train,[ə],18,1.5,34,f,none,
farsi 2,none,st,-1,station,[n] ,18,1.5,34,f,none,
farsi 3,none,pl,3,please,none,14,3,28,f,Arabic ,
farsi 3,prothesis ,st,-1,stella ,[l],14,3,28,f,Arabic ,
farsi 3,none,br,3,bring,[u],14,3,28,f,Arabic ,
farsi 3,none,st,-1,store,[ə],14,3,28,f,Arabic ,
farsi 3,prothesis ,sp,-1,spoons,[s],14,3,28,f,Arabic ,
farsi 3,none,fr,2,fresh,[v],14,3,28,f,Arabic ,
farsi 3,none,sn,1,snow ,[ʃ],14,3,28,f,Arabic ,
farsi 3,prothesis ,sl,2,slabs,[k],14,3,28,f,Arabic ,
farsi 3,none,bl,3,blue,[v],14,3,28,f,Arabic,
farsi 3,none,sn,1,snack ,[ə],14,3,28,f,Arabic ,
farsi 3,none,br,3,brother,[ɚ],14,3,28,f,Arabic ,
farsi 3,none,sm,1,small,[ə],14,3,28,f,Arabic ,
farsi 3,none,pl,3,plastic ,[l],14,3,28,f,Arabic ,
farsi 3,prothesis ,sn,1,snake,[k],14,3,28,f,Arabic ,
