participant,word,onset,ep_type,has_ep,preceding_v,context,s_initial,gender,dominant_language,current_farsi_exposure,current_english_exposure,length_of_farsi_residence,farsi_speaking_proficiency,farsi_understanding_proficiency,farsi_reading_proficiency,age_of_english_acquisition,age_of_english_fluency,length_of_english_residence,english_speaking_proficiency,english_understanding_proficiency,english_reading_proficiency,PC1_acquisition_exposure,PC1_immersion,PC1_self_report,PC1_original,PC2_original
1,beautiful,bj,none,FALSE,FALSE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,beautiful,bj,none,FALSE,FALSE,context,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,breeze,br,none,FALSE,TRUE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,breeze,br,none,FALSE,FALSE,context,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,bring,br,none,FALSE,FALSE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,bring,br,none,FALSE,FALSE,context,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,brings,br,none,FALSE,FALSE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,brings,br,none,FALSE,FALSE,context,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,brother,br,none,FALSE,FALSE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,brother,br,none,FALSE,FALSE,context,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,bugle,bj,none,FALSE,FALSE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,bugle,bj,none,FALSE,FALSE,context,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,clean,kl,none,FALSE,FALSE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,clean,kl,none,FALSE,FALSE,context,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,creek,kr,none,FALSE,FALSE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,creek,kr,none,FALSE,FALSE,context,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,cute,kj,none,FALSE,TRUE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,cute,kj,none,FALSE,FALSE,context,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,dreaming,dr,none,FALSE,FALSE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,dreaming,dr,none,FALSE,FALSE,context,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,drink,dr,none,FALSE,TRUE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,drink,dr,none,FALSE,FALSE,context,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,dwarf,dw,none,FALSE,TRUE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,dwarf,dw,none,FALSE,FALSE,context,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
1,dwayne,dw,none,FALSE,FALSE,passage,FALSE,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-0.932547781680086,-1.0698967710086866,-2.576579970813032,-2.690625329324644,2.205939735679363
