,participant,word,onset,ep_type,last_sound,context
1,1,beautiful,bj,none,r,passage
2,1,beautiful,bj,none,na,context
3,1,breeze,br,none,e,passage
4,1,breeze,br,none,na,context
5,1,bring,br,none,r,passage
6,1,bring,br,none,na,context
7,1,brings,br,none,r,passage
8,1,brings,br,none,na,context
9,1,brother,br,none,n,passage
10,1,brother,br,none,na,context
11,1,bugle,bj,none,f,passage
12,1,bugle,bj,none,na,context
13,1,clean,kl,none,n,passage
14,1,clean,kl,none,na,context
15,1,creek,kr,none,r,passage
16,1,creek,kr,none,na,context
17,1,cute,kj,none,e,passage
18,1,cute,kj,none,na,context
19,1,dreaming,dr,none,p,passage
20,1,dreaming,dr,none,na,context
21,1,drink,dr,none,i,passage
22,1,drink,dr,none,na,context
23,1,dwarf,dw,none,e,passage
24,1,dwarf,dw,none,na,context
25,1,dwayne,dw,none,na,passage
26,1,dwayne,dw,none,na,context
27,1,flickering,fl,none,t,passage
28,1,flickering,fl,anaptyxis,na,context
29,1,flock,fl,none,e,passage
30,1,flock,fl,none,na,context
31,1,floor,fl,none,i,passage
32,1,floor,fl,none,na,context
33,1,fly,fl,none,s,passage
34,1,fly,fl,none,na,context
35,1,flying,fl,none,s,passage
36,1,flying,fl,none,na,context
37,1,freaks,fr,none,i,passage
38,1,freaks,fr,none,na,context
39,1,gloves,gl,none,l,passage
40,1,gloves,gl,none,na,context
41,1,grabs,gr,none,d,passage
42,1,grabs,gr,none,na,context
43,1,ground,gr,none,e,passage
44,1,ground,gr,none,na,context
45,1,place,pl,none,u,passage
46,1,place,pl,none,na,context
47,1,please,pl,none,na,passage
48,1,please,pl,none,na,context
49,1,plethora,pl,none,e,passage
50,1,plethora,pl,none,na,context
51,1,prothesis,sk,none,na,context
52,1,quacks,kw,none,d,passage
53,1,quacks,kw,none,na,context
54,1,queen,kw,none,e,passage
55,1,queen,kw,none,na,context
56,1,quickly,kw,none,r,passage
57,1,quickly,kw,none,na,context
58,1,scarlett,sk,prothesis,k,passage
59,1,scoop,sk,none,n,passage
60,1,scoop,sk,none,na,context
61,1,skeptical,sk,prothesis,z,passage
62,1,skeptical,sk,none,na,context
63,1,skin,sk,prothesis,z,passage
64,1,skin,sk,none,na,context
65,1,skip,sk,prothesis,n,passage
66,1,skip,sk,none,na,context
67,1,sleep,sl,none,d,passage
68,1,sleep,sl,none,na,context
69,1,slips,sl,none,u,passage
70,1,slips,sl,none,na,context
71,1,sloth,sl,none,l,passage
72,1,sloth,sl,none,na,context
73,1,slouched,sl,none,z,passage
74,1,slouched,sl,none,na,context
75,1,slow,sl,prothesis,t,passage
76,1,slow,sl,none,na,context
77,1,slugs,sl,none,i,passage
78,1,slugs,sl,none,na,context
79,1,smacked,sm,none,t,passage
80,1,smacked,sm,none,na,context
81,1,small,sm,prothesis,s,passage
82,1,small,sm,none,r,passage
83,1,small,sm,none,na,context
84,1,small,sm,none,na,context
85,1,smelling,sm,prothesis,z,passage
86,1,smelling,sm,none,na,context
87,1,smiles,sm,prothesis,p,passage
88,1,smiles,sm,none,na,context
89,1,smith,sm,none,na,passage
90,1,smith,sm,none,na,context
91,1,smog,sm,prothesis,k,passage
92,1,smog,sm,none,na,context
93,1,snag,sn,prothesis,d,passage
94,1,snag,sn,none,na,context
95,1,snaps,sn,none,n,passage
96,1,snaps,sn,none,na,context
97,1,snatch,sn,none,n,passage
98,1,snatch,sn,none,na,context
99,1,sniffs,sn,prothesis,o,passage
100,1,sniffs,sn,none,na,context
101,1,snips,sn,prothesis,i,passage
102,1,snips,sn,none,na,context
103,1,snoops,sn,none,d,passage
104,1,snoops,sn,none,na,context
105,1,snow,sn,none,e,passage
106,1,snow,sn,none,na,context
107,1,spark,sp,none,g,passage
108,1,spark,sp,none,na,context
109,1,speed,sp,prothesis,l,passage
110,1,speed,sp,none,na,context
111,1,spreading,sp,prothesis,l,passage
112,1,spreading,sp,none,na,context
113,1,start,st,prothesis,d,passage
114,1,start,st,none,na,context
115,1,starts,st,none,s,passage
116,1,starts,st,prothesis,d,passage
117,1,starts,st,none,na,context
118,1,steps,st,none,n,passage
119,1,steps,st,none,na,context
120,1,stop,st,none,t,passage
121,1,stop,st,none,na,context
122,1,swats,sw,none,d,passage
123,1,swats,sw,none,na,context
124,1,sweeping,sw,none,z,passage
125,1,sweeping,sw,none,na,context
126,1,sweeps,sw,none,d,passage
127,1,sweeps,sw,none,na,context
128,1,swim,sw,none,d,passage
129,1,swim,sw,none,na,context
130,1,swoon,sw,none,n,passage
