participant,word,onset,ep_type,has_ep,preceding_v,context,sonority_delta,gender,dominant_language,current_farsi_exposure,current_english_exposure,length_of_farsi_residence,farsi_speaking_proficiency,farsi_understanding_proficiency,farsi_reading_proficiency,age_of_english_acquisition,age_of_english_fluency,length_of_english_residence,english_speaking_proficiency,english_understanding_proficiency,english_reading_proficiency,PC1,PC2
1,trot,tr,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,snaps,sn,none,FALSE,FALSE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,dwane,dw,anaptyxis,TRUE,FALSE,passage,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,cute,kj,none,FALSE,TRUE,passage,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,swats,sw,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,gloves,gl,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,smith,sm,none,FALSE,FALSE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,starts,st,prothesis,TRUE,FALSE,passage,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,steps,st,none,FALSE,FALSE,passage,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,slugs,sl,prothesis,TRUE,TRUE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,quacks,kw,none,FALSE,FALSE,passage,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,skip,sk,none,FALSE,FALSE,passage,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,flying,fl,none,FALSE,FALSE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,drink,dr,none,FALSE,TRUE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,grabs,gr,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,smog,sm,none,FALSE,FALSE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,beautiful,bj,none,FALSE,FALSE,passage,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,dwarf,dw,none,FALSE,TRUE,passage,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,quickly,kw,none,FALSE,FALSE,passage,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,snoops,sn,none,FALSE,FALSE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,bring,br,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,start,st,none,FALSE,FALSE,passage,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,flickering,fl,none,FALSE,FALSE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,spark,sp,none,FALSE,FALSE,passage,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,small,sm,prothesis,TRUE,FALSE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,scoop,sk,none,FALSE,FALSE,passage,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,skin,sk,prothesis,TRUE,FALSE,passage,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,snag,sn,none,FALSE,FALSE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,thread,θr,none,FALSE,FALSE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,sweeps,sw,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,please,pl,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,floor,fl,none,FALSE,TRUE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,thrashing,θr,none,FALSE,FALSE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,speed,sp,prothesis,TRUE,FALSE,passage,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,smiles,sm,none,FALSE,FALSE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,swoon,sw,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,slouched,sl,none,FALSE,FALSE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,swim,sw,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,dreaming,dr,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,twin,tw,none,FALSE,FALSE,passage,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,clean,kl,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,snips,sn,prothesis,TRUE,TRUE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,ground,gr,none,FALSE,TRUE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,slips,sl,none,FALSE,TRUE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,place,pl,none,FALSE,TRUE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,tweaking,tw,none,FALSE,FALSE,passage,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,sweeping,sw,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,sloth,sl,none,FALSE,FALSE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,spreading,sp,prothesis,TRUE,FALSE,passage,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,sniffs,sn,none,FALSE,TRUE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,flock,fl,none,FALSE,TRUE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,snatch,sn,none,FALSE,FALSE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,small,sm,none,FALSE,FALSE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,slow,sl,none,FALSE,FALSE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,stop,st,none,FALSE,FALSE,passage,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,smacked,sm,none,FALSE,FALSE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,skeptical,sk,prothesis,TRUE,FALSE,passage,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,fly,fl,none,FALSE,FALSE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,breeze,br,none,FALSE,TRUE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,queen,kw,none,FALSE,TRUE,passage,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,twitches,tw,none,FALSE,FALSE,passage,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,throttle,θr,none,FALSE,FALSE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,brings,br,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,three,θr,none,FALSE,FALSE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,sleep,sl,none,FALSE,FALSE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,scarlett,sk,prothesis,TRUE,FALSE,passage,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,creek,kr,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,plethora,pl,none,FALSE,TRUE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,snow,sn,none,FALSE,TRUE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,smelling,sm,prothesis,TRUE,FALSE,passage,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,brother,br,none,FALSE,FALSE,passage,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
1,freaks,fr,none,FALSE,TRUE,passage,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.57317468759295,11.538137913656424
