Input ,Output ,Frequency ,DEP-[ə]/S_T,C//V,C/V,L-ANCHOR,CONTIGUITY,DEP-[ə]/S_N,DEP-[ə]/S_L,DEP-[ə]/S_W,DEP-[ə]/T_R,COMP-S,COMP-T
trot ,trot ,28,,1,1,,,,,,,,1
trot ,terot,2,,,,,1,,,,1,,
trot ,etrot,0,,,1,1,,,,,,,
snaps,snaps,25,,1,1,,,,,,,1,
snaps,senaps,5,,,,,1,1,,,,,
snaps,esnaps,0,,,1,1,,,,,,,
dwayne,dwayne,25,,1,1,,,,,,,,1
dwayne,dewayne,5,,,,,1,,,,1,,
dwayne,edwayne,0,,,1,1,,,,,,,
cute ,cute ,26,,1,1,,,,,,,,1
cute ,ceyute ,4,,,,,1,,,,1,,
cute ,ecute ,0,,,1,1,,,,,,,
swats ,swats ,27,,1,1,,,,,,,1,
swats ,sewats,3,,,,,1,,,1,,,
swats ,eswats,0,,,1,1,,,,,,,
gloves,gloves,16,,1,1,,,,,,,,1
gloves,geloves,0,,,,,1,,,,1,,
gloves,egloves,0,,,1,1,,,,,,,
smith,smith,25,,1,1,,,,,,,1,
smith,semith,5,,,,,1,1,,,,,
smith,esmith ,0,,,1,1,,,,,,,
starts ,starts ,26,,1,1,,,,,,,1,
starts ,setarts ,4,1,,,,1,,,,,,
starts ,estarts ,0,,,1,1,,,,,,,
steps ,steps ,29,,1,1,,,,,,,1,
steps ,seteps ,1,1,,,,1,,,,,,
steps ,esteps ,0,,,1,1,,,,,,,
slugs ,slugs ,25,,1,1,,,,,,,1,
slugs ,selugs ,5,,,,,1,,1,,,,
slugs ,eslugs ,0,,,1,1,,,,,,,
quacks ,quacks ,25,,1,1,,,,,,,,1
quacks ,qeuaks ,5,,,,,1,,,,1,,
quacks ,equacks ,0,,,1,1,,,,,,,
skip ,skip ,12,,1,1,,,,,,,1,
skip ,sekip ,10,1,,,,1,,,,,,
skip ,eskip ,0,,,1,1,,,,,,,
flying ,flying ,21,,1,1,,,,,,,,1
flying ,felying ,3,,,,,1,,,,1,,
flying ,eflying ,0,,,1,1,,,,,,,
drink ,drink ,25,,1,1,,,,,,,1,
drink ,derink ,5,,,,,1,,,,1,,
drink ,edrink ,0,,,1,1,,,,,,,
grabs ,grabs ,26,,1,1,,,,,,,,1
grabs,gerabs ,4,,,,,1,,,,1,,
grabs ,egrabs ,0,,,1,1,,,,,,,
smog ,smog ,25,,1,1,,,,,,,1,
smog ,semog ,5,,,,,1,1,,,,,
smog ,esmog ,0,,,1,1,,,,,,,
beautiful ,beautiful ,26,,1,1,,,,,,,,1
beautiful ,beeautiful ,4,,,,,1,,,,1,,
beautiful ,ebeautiful ,0,,,1,1,,,,,,,
dwarf,dwarf ,26,,1,1,,,,,,,,1
dwarf,dewarf ,4,,,,,1,,,,1,,
dwarf,edwarf ,0,,,1,1,,,,,,,
quickly ,quickly ,26,,1,1,,,,,,,,1
quickly ,qeuickly ,4,,,,,1,,,,1,,
quickly ,equickly ,0,,,1,1,,,,,,,
snoops ,snoops ,25,,1,1,,,,,,,1,
snoops ,senoops ,5,,,,,1,1,,,,,
snoops ,esnoops ,0,,,1,1,,,,,,,
bring ,bring ,24,,1,1,,,,,,,,1
bring ,bering ,6,,,,,1,,,,1,,
bring ,ebring ,0,,,1,1,,,,,,,
start ,start ,25,,1,1,,,,,,,1,
start ,setart ,5,1,,,,1,,,,,,
start ,estart ,0,,,1,1,,,,,,,
flickering ,flickering ,24,,1,1,,,,,,,,1
flickering ,felickering ,5,,,,,1,,,,1,,
flickering ,eflickering ,1,,,1,1,,,,,,,
spark ,spark ,25,,1,1,,,,,,,1,
spark ,separk ,5,1,,,,1,,,,,,
spark ,espark ,0,,,1,1,,,,,,,
small ,small ,23,,1,1,,,,,,,1,
small ,semall ,7,,,,,1,1,,,,,
small ,esmall ,0,,,1,1,,,,,,,
scoop ,scoop ,2,,1,1,,,,,,,1,
scoop ,secoop ,0,1,,,,1,,,,,,
scoop ,escoop ,0,,,1,1,,,,,,,
skin ,skin ,24,,1,1,,,,,,,1,
skin ,sekin ,4,1,,,,1,,,,,,
skin ,eskin ,0,,,1,1,,,,,,,
snag ,snag ,27,,1,1,,,,,,,1,
snag ,senag ,3,,,,,1,1,,,,,
snag ,esnag ,0,,,1,1,,,,,,,
thread ,thread ,26,,1,1,,,,,,,,1
thread ,theread ,3,,,,,1,,,,1,,
thread ,ethread ,0,,,1,1,,,,,,,
sweeps ,sweeps ,19,,1,1,,,,,,,1,
sweeps ,seweeps ,0,,,,,1,,,1,,,
sweeps ,esweeps ,10,,,1,1,,,,,,,
please ,please ,25,,1,1,,,,,,,,1
please ,pelease ,0,,,,,1,,,,1,,
please ,eplease ,5,,,1,1,,,,,,,
floor ,floor ,20,,1,1,,,,,,,,1
floor ,feloor ,0,,,,,1,,,,1,,
floor ,efloor ,10,,,1,1,,,,,,,
thrashing ,thrashing ,21,,1,1,,,,,,,,1
thrashing ,therashing ,0,,,,,1,,,,1,,
thrashing ,ethrashing ,9,,,1,1,,,,,,,
speed ,speed ,25,,1,1,,,,,,,1,
speed ,sepeed ,0,1,,,,1,,,,,,
speed ,espeed ,5,,,1,1,,,,,,,
smiles ,smiles ,27,,1,1,,,,,,,1,
smiles ,semiles ,0,,,,,1,1,,,,,
smiles ,esmiles ,3,,,1,1,,,,,,,
swoon ,swoon ,25,,1,1,,,,,,,1,
swoon ,sewoon ,0,,,,,1,,,1,,,
swoon ,eswoon ,4,,,1,1,,,,,,,
slouched ,slouched ,25,,1,1,,,,,,,1,
slouched ,selouched ,0,,,,,1,,1,,,,
slouched ,eslouched ,5,,,1,1,,,,,,,
