word,ep_type,count
beautiful,none,28
beautiful,anaptyxis,2
beautiful,prothesis,0
breeze,none,25
breeze,anaptyxis,5
breeze,prothesis,0
bring,none,25
bring,anaptyxis,5
bring,prothesis,0
brings,none,26
brings,anaptyxis,4
brings,prothesis,0
brother,none,27
brother,anaptyxis,3
brother,prothesis,0
bugle,none,16
bugle,anaptyxis,0
bugle,prothesis,0
clean,none,25
clean,anaptyxis,5
clean,prothesis,0
creek,none,26
creek,anaptyxis,4
creek,prothesis,0
cute,none,29
cute,anaptyxis,1
cute,prothesis,0
dreaming,none,25
dreaming,anaptyxis,5
dreaming,prothesis,0
drink,none,25
drink,anaptyxis,5
drink,prothesis,0
dwarf,none,21
dwarf,anaptyxis,3
dwarf,prothesis,0
dwayne,none,12
dwayne,anaptyxis,10
dwayne,prothesis,0
flickering,none,25
flickering,anaptyxis,5
flickering,prothesis,0
flock,none,26
flock,anaptyxis,4
flock,prothesis,0
floor,none,25
floor,anaptyxis,5
floor,prothesis,0
fly,none,26
fly,anaptyxis,4
fly,prothesis,0
flying,none,26
flying,anaptyxis,4
flying,prothesis,0
freaks,none,26
freaks,anaptyxis,4
freaks,prothesis,0
gloves,none,25
gloves,anaptyxis,5
gloves,prothesis,0
grabs,none,24
grabs,anaptyxis,6
grabs,prothesis,0
ground,none,25
ground,anaptyxis,5
ground,prothesis,0
place,none,24
place,anaptyxis,6
place,prothesis,0
please,none,25
please,anaptyxis,5
please,prothesis,0
plethora,none,23
plethora,anaptyxis,7
plethora,prothesis,0
quacks,none,24
quacks,anaptyxis,4
quacks,prothesis,0
queen,none,27
queen,anaptyxis,3
queen,prothesis,0
quickly,none,26
quickly,anaptyxis,3
quickly,prothesis,0
scarlett,none,19
scarlett,anaptyxis,0
scarlett,prothesis,10
scoop,none,25
scoop,anaptyxis,0
scoop,prothesis,5
skeptical,none,20
skeptical,anaptyxis,0
skeptical,prothesis,10
skin,none,21
skin,anaptyxis,0
skin,prothesis,9
skip,none,25
skip,anaptyxis,0
skip,prothesis,5
sleep,none,27
sleep,anaptyxis,0
sleep,prothesis,3
slips,none,25
slips,anaptyxis,0
slips,prothesis,4
sloth,none,25
sloth,anaptyxis,0
sloth,prothesis,5
slouched,none,24
slouched,anaptyxis,0
slouched,prothesis,6
slow,none,25
slow,anaptyxis,0
slow,prothesis,5
slugs,none,25
slugs,anaptyxis,0
slugs,prothesis,5
smacked,none,23
smacked,anaptyxis,0
smacked,prothesis,7
small,none,48
small,anaptyxis,0
small,prothesis,12
smelling,none,25
smelling,anaptyxis,0
smelling,prothesis,5
smiles,none,25
smiles,anaptyxis,0
smiles,prothesis,5
smith,none,24
smith,anaptyxis,0
smith,prothesis,5
smog,none,27
smog,anaptyxis,0
smog,prothesis,3
snag,none,25
snag,anaptyxis,0
snag,prothesis,5
snaps,none,24
snaps,anaptyxis,0
snaps,prothesis,6
snatch,none,25
snatch,anaptyxis,0
snatch,prothesis,5
sniffs,none,23
sniffs,anaptyxis,0
sniffs,prothesis,7
snips,none,25
snips,anaptyxis,0
snips,prothesis,5
snoops,none,24
snoops,anaptyxis,0
snoops,prothesis,6
snow,none,26
snow,anaptyxis,0
snow,prothesis,4
spark,none,24
spark,anaptyxis,0
spark,prothesis,6
speed,none,22
speed,anaptyxis,0
speed,prothesis,8
start,none,40
start,anaptyxis,0
start,prothesis,11
starts,none,27
starts,anaptyxis,0
starts,prothesis,10
steps,none,24
steps,anaptyxis,0
steps,prothesis,6
stop,none,26
stop,anaptyxis,0
stop,prothesis,4
swats,none,28
swats,anaptyxis,2
swats,prothesis,0
sweeping,none,25
sweeping,anaptyxis,4
sweeping,prothesis,0
sweeps,none,28
sweeps,anaptyxis,1
sweeps,prothesis,1
swim,none,27
swim,anaptyxis,2
swim,prothesis,1
swoon,none,25
swoon,anaptyxis,5
swoon,prothesis,0
thrashing,none,24
thrashing,anaptyxis,5
thrashing,prothesis,0
thread,none,24
thread,anaptyxis,6
thread,prothesis,0
three,none,25
three,anaptyxis,5
three,prothesis,0
throttle,none,24
throttle,anaptyxis,3
throttle,prothesis,0
trot,none,26
trot,anaptyxis,4
trot,prothesis,0
tweaking,none,26
tweaking,anaptyxis,3
tweaking,prothesis,0
twin,none,25
twin,anaptyxis,5
twin,prothesis,0
twitches,none,26
twitches,anaptyxis,3
twitches,prothesis,0
