participant,word,onset,ep_type,has_ep,preceding_v,context,nap_sonority,sonority_delta,gender,dominant_language,current_farsi_exposure,current_english_exposure,length_of_farsi_residence,farsi_speaking_proficiency,farsi_understanding_proficiency,farsi_reading_proficiency,age_of_english_acquisition,age_of_english_fluency,length_of_english_residence,english_speaking_proficiency,english_understanding_proficiency,english_reading_proficiency,PC1,PC2,onset_bigram,bi_prob_smoothed
1,trot,tr,none,FALSE,FALSE,passage,5,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,T R,-4.174091143879986
1,snaps,sn,none,FALSE,FALSE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S N,-5.702531277356194
1,dwayne,dw,anaptyxis,TRUE,FALSE,passage,4,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,D W,-7.501242230995325
1,cute,kj,none,FALSE,TRUE,passage,6,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,K Y,-6.9528628073583745
1,swats,sw,none,FALSE,FALSE,passage,6,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S W,-5.3518117100599705
1,gloves,gl,none,FALSE,FALSE,passage,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,G L,-5.515533019295139
1,smith,sm,none,FALSE,FALSE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S M,-5.980379245577114
1,starts,st,prothesis,TRUE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S T,-4.197825218612371
1,steps,st,none,FALSE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S T,-4.197825218612371
1,slugs,sl,prothesis,TRUE,TRUE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S L,-5.015945325237484
1,quacks,kw,none,FALSE,FALSE,passage,6,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,K W,-4.900273258363708
1,skip,sk,none,FALSE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S K,-4.588769672309811
1,flying,fl,none,FALSE,FALSE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,F L,-4.7156268300213995
1,drink,dr,none,FALSE,TRUE,passage,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,D R,-5.022968145018844
1,grabs,gr,none,FALSE,FALSE,passage,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,G R,-4.587983375978652
1,smog,sm,none,FALSE,FALSE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S M,-5.980379245577114
1,beautiful,bj,none,FALSE,FALSE,passage,4,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,B Y,-7.655533994451474
1,dwarf,dw,none,FALSE,TRUE,passage,4,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,D W,-7.501242230995325
1,quickly,kw,none,FALSE,FALSE,passage,6,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,K W,-4.900273258363708
1,snoops,sn,none,FALSE,FALSE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S N,-5.702531277356194
1,bring,br,none,FALSE,FALSE,passage,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,B R,-4.613752485125774
1,start,st,none,FALSE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S T,-4.197825218612371
1,flickering,fl,none,FALSE,FALSE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,F L,-4.7156268300213995
1,spark,sp,none,FALSE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S P,-4.898904003978995
1,small,sm,prothesis,TRUE,FALSE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S M,-5.980379245577114
1,scoop,sk,none,FALSE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S K,-4.588769672309811
1,skin,sk,prothesis,TRUE,FALSE,passage,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S K,-4.588769672309811
1,snag,sn,none,FALSE,FALSE,passage,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S N,-5.702531277356194
1,thread,θr,none,FALSE,FALSE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,TH R,-6.151565902523183
1,sweeps,sw,none,FALSE,FALSE,passage,6,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,S W,-5.3518117100599705
1,please,pl,none,FALSE,FALSE,passage,5,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,P L,-4.914898942249727
1,floor,fl,none,FALSE,TRUE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,F L,-4.7156268300213995
1,thrashing,θr,none,FALSE,FALSE,passage,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-2.69065246135422,2.210237432486381,TH R,-6.151565902523183
