word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
T R,2,-4.619884064401387,nan,-4.162423401784208,nan,-4.174091143879986,nan,1.5084764931097847,nan,1.5071872232233692,nan,1.0736872227786523,nan,1.0690485748695302,nan
S N,2,-6.066540015457385,nan,-5.67966067493434,nan,-5.702531277356194,nan,1.151046337351963,nan,1.1510778229957612,nan,1.0155959364715983,nan,1.014719657433427,nan
D W,2,-5.98657960342867,nan,-7.534165445056688,nan,-7.5012422309953255,nan,1.1656971814288355,nan,1.1655634556950816,nan,1.0024323937616255,nan,1.0024086712163789,nan
K Y,2,-6.7634486516443895,nan,-6.925446944113534,nan,-6.9528628073583745,nan,1.1389189907404742,nan,1.138939605012384,nan,1.0050078695092288,nan,1.004817342432758,nan
S W,2,-5.540611623505638,nan,-5.336940867720469,nan,-5.3518117100599705,nan,1.2144316571402016,nan,1.2142642443336589,nan,1.0218915438546288,nan,1.0206075204067977,nan
G L,2,-6.3626318390344725,nan,-5.492562636108859,nan,-5.515533019295139,nan,1.2278097755925166,nan,1.2273467522367898,nan,1.0187437401631134,nan,1.0176635889201124,nan
S M,2,-5.145910881984632,nan,-5.976171244045374,nan,-5.980379245577114,nan,1.1471831237305579,nan,1.147226731853271,nan,1.0117327228501931,nan,1.0111066506088586,nan
S T,2,-4.99279144902612,nan,-4.184581271020594,nan,-4.197825218612371,nan,1.2361801190088524,nan,1.2359444611358268,nan,1.1007297181284876,nan,1.0943396226415094,nan
S L,2,-4.913098019778666,nan,-5.006467793600586,nan,-5.015945325237484,nan,1.3314727216701774,nan,1.3309380426505895,nan,1.0304764630133065,nan,1.0286364244613944,nan
K W,2,-5.586932693551493,nan,-4.882373046604573,nan,-4.900273258363708,nan,1.1944348012999249,nan,1.1942812110600234,nan,1.028759479181571,nan,1.027030643650475,nan
S K,2,-4.463645201612221,nan,-4.5799714090772445,nan,-4.588769672309811,nan,1.1985495566966475,nan,1.1984319807478652,nan,1.0630991558162828,nan,1.0591462598688612,nan
F L,2,-5.7841198348516265,nan,-4.697879036329491,nan,-4.7156268300213995,nan,1.252711520601163,nan,1.252231284237921,nan,1.04149377593361,nan,1.0389401846647932,nan
D R,2,-4.490384726864665,nan,-5.015520655636838,nan,-5.022968145018844,nan,1.5411443126350166,nan,1.5398324615430348,nan,1.0301902990413507,nan,1.0283687943262412,nan
G R,2,-5.493950566197441,nan,-4.5652604137358415,nan,-4.587983375978652,nan,1.486215842268722,nan,1.4849419597678124,nan,1.0473601373587065,nan,1.0444266024354343,nan
B Y,2,-7.4399589204461805,nan,-7.659328588010695,nan,-7.655533994451474,nan,1.0892098255148808,nan,1.089264800601035,nan,1.0021462297896695,nan,1.0021410410812257,nan
B R,2,-4.767248085789279,nan,-4.60218768632806,nan,-4.613752485125774,nan,1.5201727672805125,nan,1.5188754124966277,nan,1.045643153526971,nan,1.042820821624515,nan
S P,2,-4.601039416808924,nan,-4.889703341326084,nan,-4.898904003978995,nan,1.1913954573977492,nan,1.191300330483994,nan,1.0559450565173845,nan,1.0524555064900307,nan
TH R,2,-6.8911848673556655,nan,-6.076919347964513,nan,-6.151565902523183,nan,1.4622887867743029,nan,1.461031443539453,nan,1.0104449849763915,nan,1.0099023150006692,nan
P L,2,-5.096813305021223,nan,-4.903514557582551,nan,-4.914898942249727,nan,1.29644678235246,nan,1.2959363145580893,nan,1.0340535126627557,nan,1.0319818011508095,nan
T W,2,-6.116078940965392,nan,-6.70330931931411,nan,-6.71044976457928,nan,1.1330293619036036,nan,1.132918217375416,nan,1.0078695092287882,nan,1.00749364378429,nan
K L,2,-4.95941908982452,nan,-4.825184364980202,nan,-4.836066891269524,nan,1.3114758658299006,nan,1.310955009376954,nan,1.0407783660037202,nan,1.0382711093269101,nan
K R,2,-4.090737816987488,nan,-4.307008901701011,nan,-4.314465239937014,nan,1.569881932506106,nan,1.5685502169079766,nan,1.0553727285734726,nan,1.0519202462197244,nan
F R,2,-4.915438562014595,nan,-4.830044522094368,nan,-4.842469955048096,nan,1.5111175872773683,nan,1.5098264917689437,nan,1.0363428244384032,nan,1.0341228422320354,nan
