Input,Output,Frequency,DEP-[ə]/S_T,C//V,C/V,L-ANCHOR,CONTIGUITY,DEP-[ə]/S_N,DEP-[ə]/S_L,DEP-[ə]/S_W,DEP-[ə]/T_R,COMPLEX
beautiful,beautiful,2,0,1,1,0,0,0,0,0,0,1
beautiful,beeautiful,0,0,0,0,0,1,0,0,0,1,0
beautiful,ebeautiful,0,0,0,1,1,0,0,0,0,0,0
breeze,breeze,2,1,1,0,0,0,0,0,0,1,0
breeze,bereeze,0,0,0,0,1,0,0,1,0,0,0
breeze,ebreeze,0,0,1,1,0,0,0,0,0,0,0
bring,bring,2,0,1,1,0,0,0,0,0,0,1
bring,bering,0,0,0,0,0,1,0,0,0,1,0
bring,ebring,0,0,0,1,1,0,0,0,0,0,0
brings,brings,2,1,1,0,0,0,0,0,0,1,0
brings,berings,0,0,0,0,1,0,0,1,0,0,0
brings,ebrings,0,0,1,1,0,0,0,0,0,0,0
brother,brother,2,1,1,0,0,0,0,0,0,1,0
brother,berother,0,0,0,0,1,0,0,1,0,0,0
brother,ebrother,0,0,1,1,0,0,0,0,0,0,0
bugle,bugle,1,0,1,1,0,0,0,0,0,0,1
bugle,beugle,0,0,0,0,0,1,0,0,0,1,0
bugle,ebugle,0,0,0,1,1,0,0,0,0,0,0
clean,clean,2,0,1,1,0,0,0,0,0,0,1
clean,celean,0,0,0,0,0,1,0,0,0,1,0
clean,eclean,0,0,0,1,1,0,0,0,0,0,0
creek,creek,2,1,1,0,0,0,0,0,0,1,0
creek,cereek,0,0,0,0,1,0,0,1,0,0,0
creek,ecreek,0,0,1,1,0,0,0,0,0,0,0
cute,cute,2,0,1,1,0,0,0,0,0,0,1
cute,ceyute,0,0,0,0,0,1,0,0,0,1,0
cute,ecute,0,0,0,1,1,0,0,0,0,0,0
dreaming,dreaming,2,0,1,1,0,0,0,0,0,0,1
dreaming,dereaming,0,0,0,0,0,1,0,0,0,1,0
dreaming,edreaming,0,0,0,1,1,0,0,0,0,0,0
drink,drink,2,0,1,1,0,0,0,0,0,0,1
drink,derink,0,0,0,0,0,1,0,0,0,1,0
drink,edrink,0,0,0,1,1,0,0,0,0,0,0
dwarf,dwarf,2,0,1,1,0,0,0,0,0,0,1
dwarf,dewarf,0,0,0,0,0,1,0,0,0,1,0
dwarf,edwarf,0,0,0,1,1,0,0,0,0,0,0
dwayne,dwayne,2,0,1,1,0,0,0,0,0,0,1
dwayne,dewayne,0,0,0,0,0,1,0,0,0,1,0
dwayne,edwayne,0,0,0,1,1,0,0,0,0,0,0
flickering,flickering,2,0,1,1,0,0,0,0,0,0,1
flickering,felickering,0,0,0,0,0,1,0,0,0,1,0
flickering,eflickering,0,0,0,1,1,0,0,0,0,0,0
flock,flock,2,1,1,0,0,0,0,0,0,1,0
flock,felock,0,0,0,0,1,0,0,1,0,0,0
flock,eflock,0,0,1,1,0,0,0,0,0,0,0
floor,floor,2,0,1,1,0,0,0,0,0,0,1
floor,feloor,0,0,0,0,0,1,0,0,0,1,0
floor,efloor,0,0,0,1,1,0,0,0,0,0,0
fly,fly,2,1,1,0,0,0,0,0,0,1,0
fly,fely,0,0,0,0,1,0,0,1,0,0,0
fly,efly,0,0,1,1,0,0,0,0,0,0,0
flying,flying,2,0,1,1,0,0,0,0,0,0,1
flying,felying,0,0,0,0,0,1,0,0,0,1,0
flying,eflying,0,0,0,1,1,0,0,0,0,0,0
freaks,freaks,2,1,1,0,0,0,0,0,0,1,0
freaks,fereaks,0,0,0,0,1,0,0,1,0,0,0
freaks,efreaks,0,0,1,1,0,0,0,0,0,0,0
gloves,gloves,2,0,1,1,0,0,0,0,0,0,1
gloves,geloves,0,0,0,0,0,1,0,0,0,1,0
gloves,egloves,0,0,0,1,1,0,0,0,0,0,0
grabs,grabs,2,0,1,1,0,0,0,0,0,0,1
grabs,gerabs,0,0,0,0,0,1,0,0,0,1,0
grabs,egrabs,0,0,0,1,1,0,0,0,0,0,0
ground,ground,2,0,1,1,0,0,0,0,0,0,1
ground,geround,0,0,0,0,0,1,0,0,0,1,0
ground,eground,0,0,0,1,1,0,0,0,0,0,0
place,place,2,1,1,0,0,0,0,0,0,1,0
place,pelace,0,0,0,0,1,0,0,1,0,0,0
place,eplace,0,0,1,1,0,0,0,0,0,0,0
please,please,2,0,1,1,0,0,0,0,0,0,1
please,pelease,0,0,0,0,0,1,0,0,0,1,0
please,eplease,0,0,0,1,1,0,0,0,0,0,0
