Input,Output,Frequency,SyllableContact_4,SyllableContact_3,SyllableContact_2,SyllableContact_1,SyllableContact_-1,*Complex,*Dep,Contiguity
beautiful,beautiful,28,0,0,0,0,0,1,0,0
beautiful,beeautiful,2,0,0,0,0,1,0,1,1
beautiful,ebeautiful,0,1,0,0,0,0,0,1,0
breeze,breeze,25,0,0,0,0,0,1,0,0
breeze,bereeze,5,0,0,0,0,0,0,1,1
breeze,ebreeze,0,0,1,0,0,0,0,1,0
bring,bring,25,0,0,0,0,0,1,0,0
bring,bering,5,0,0,0,0,0,0,1,1
bring,ebring,0,0,1,0,0,0,0,1,0
brings,brings,26,0,0,0,0,0,1,0,0
brings,berings,4,0,0,0,0,0,0,1,1
brings,ebrings,0,0,1,0,0,0,0,1,0
brother,brother,27,0,0,0,0,0,1,0,0
brother,berother,3,0,0,0,0,0,0,1,1
brother,ebrother,0,0,1,0,0,0,0,1,0
bugle,bugle,16,0,0,0,0,0,1,0,0
bugle,beugle,0,0,0,0,0,1,0,1,1
bugle,ebugle,0,1,0,0,0,0,0,1,0
clean,clean,25,0,0,0,0,0,1,0,0
clean,celean,5,0,0,0,0,0,0,1,1
clean,eclean,0,0,1,0,0,0,0,1,0
creek,creek,26,0,0,0,0,0,1,0,0
creek,cereek,4,0,0,0,0,0,0,1,1
creek,ecreek,0,0,1,0,0,0,0,1,0
cute,cute,29,0,0,0,0,0,1,0,0
cute,ceyute,1,0,0,0,0,1,0,1,1
cute,ecute,0,1,0,0,0,0,0,1,0
dreaming,dreaming,25,0,0,0,0,0,1,0,0
dreaming,dereaming,5,0,0,0,0,0,0,1,1
dreaming,edreaming,0,0,1,0,0,0,0,1,0
drink,drink,25,0,0,0,0,0,1,0,0
drink,derink,5,0,0,0,0,0,0,1,1
drink,edrink,0,0,1,0,0,0,0,1,0
dwarf,dwarf,21,0,0,0,0,0,1,0,0
dwarf,dewarf,3,0,0,0,0,1,0,1,1
dwarf,edwarf,0,1,0,0,0,0,0,1,0
dwayne,dwayne,12,0,0,0,0,0,1,0,0
dwayne,dewayne,10,0,0,0,0,1,0,1,1
dwayne,edwayne,0,1,0,0,0,0,0,1,0
flickering,flickering,25,0,0,0,0,0,1,0,0
flickering,felickering,5,0,0,0,0,0,0,1,1
flickering,eflickering,0,0,0,1,0,0,0,1,0
flock,flock,26,0,0,0,0,0,1,0,0
flock,felock,4,0,0,0,0,0,0,1,1
flock,eflock,0,0,0,1,0,0,0,1,0
floor,floor,25,0,0,0,0,0,1,0,0
floor,feloor,5,0,0,0,0,0,0,1,1
floor,efloor,0,0,0,1,0,0,0,1,0
fly,fly,26,0,0,0,0,0,1,0,0
fly,fely,4,0,0,0,0,0,0,1,1
fly,efly,0,0,0,1,0,0,0,1,0
flying,flying,26,0,0,0,0,0,1,0,0
flying,felying,4,0,0,0,0,0,0,1,1
flying,eflying,0,0,0,1,0,0,0,1,0
freaks,freaks,26,0,0,0,0,0,1,0,0
freaks,fereaks,4,0,0,0,0,0,0,1,1
freaks,efreaks,0,0,0,1,0,0,0,1,0
gloves,gloves,25,0,0,0,0,0,1,0,0
gloves,geloves,5,0,0,0,0,0,0,1,1
gloves,egloves,0,0,1,0,0,0,0,1,0
grabs,grabs,24,0,0,0,0,0,1,0,0
grabs,gerabs,6,0,0,0,0,0,0,1,1
grabs,egrabs,0,0,1,0,0,0,0,1,0
ground,ground,25,0,0,0,0,0,1,0,0
ground,geround,5,0,0,0,0,0,0,1,1
ground,eground,0,0,1,0,0,0,0,1,0
place,place,24,0,0,0,0,0,1,0,0
place,pelace,6,0,0,0,0,0,0,1,1
place,eplace,0,0,1,0,0,0,0,1,0
please,please,25,0,0,0,0,0,1,0,0
please,pelease,5,0,0,0,0,0,0,1,1
please,eplease,0,0,1,0,0,0,0,1,0
plethora,plethora,23,0,0,0,0,0,1,0,0
plethora,pelethora,7,0,0,0,0,0,0,1,1
plethora,eplethora,0,0,1,0,0,0,0,1,0
quacks,quacks,24,0,0,0,0,0,1,0,0
quacks,qeuaks,4,0,0,0,0,1,0,1,1
quacks,equacks,0,1,0,0,0,0,0,1,0
queen,queen,27,0,0,0,0,0,1,0,0
queen,qeueen,3,0,0,0,0,1,0,1,1
queen,equeen,0,1,0,0,0,0,0,1,0
quickly,quickly,26,0,0,0,0,0,1,0,0
quickly,qeuickly,3,0,0,0,0,1,0,1,1
quickly,equickly,0,1,0,0,0,0,0,1,0
scarlett,scarlett,19,0,0,0,0,0,1,0,0
scarlett,secarlett,0,0,0,0,0,0,0,1,1
scarlett,escarlett,10,0,0,0,0,1,0,1,0
scoop,scoop,25,0,0,0,0,0,1,0,0
scoop,secoop,0,0,0,0,0,0,0,1,1
scoop,escoop,5,0,0,0,0,1,0,1,0
skeptical,skeptical,20,0,0,0,0,0,1,0,0
skeptical,sekeptical,0,0,0,0,0,0,0,1,1
skeptical,eskeptical,10,0,0,0,0,1,0,1,0
skin,skin,21,0,0,0,0,0,1,0,0
skin,sekin,0,0,0,0,0,0,0,1,1
skin,eskin,9,0,0,0,0,1,0,1,0
skip,skip,25,0,0,0,0,0,1,0,0
skip,sekip,0,0,0,0,0,0,0,1,1
skip,eskip,5,0,0,0,0,1,0,1,0
sleep,sleep,27,0,0,0,0,0,1,0,0
sleep,seleep,0,0,0,0,0,0,0,1,1
sleep,esleep,3,0,0,1,0,0,0,1,0
slips,slips,25,0,0,0,0,0,1,0,0
slips,selips,0,0,0,0,0,0,0,1,1
slips,eslips,4,0,0,1,0,0,0,1,0
sloth,sloth,25,0,0,0,0,0,1,0,0
sloth,seloth,0,0,0,0,0,0,0,1,1
sloth,esloth,5,0,0,1,0,0,0,1,0
slouched,slouched,24,0,0,0,0,0,1,0,0
slouched,selouched,0,0,0,0,0,0,0,1,1
slouched,eslouched,6,0,0,1,0,0,0,1,0
slow,slow,25,0,0,0,0,0,1,0,0
slow,selow,0,0,0,0,0,0,0,1,1
slow,eslow,5,0,0,1,0,0,0,1,0
slugs,slugs,25,0,0,0,0,0,1,0,0
slugs,selugs,0,0,0,0,0,0,0,1,1
slugs,eslugs,5,0,0,1,0,0,0,1,0
smacked,smacked,23,0,0,0,0,0,1,0,0
smacked,semacked,0,0,0,0,0,0,0,1,1
smacked,esmacked,7,0,0,0,1,0,0,1,0
small,small,48,0,0,0,0,0,1,0,0
small,semall,0,0,0,0,0,0,0,1,1
small,esmall,12,0,0,0,1,0,0,1,0
smelling,smelling,25,0,0,0,0,0,1,0,0
smelling,semelling,0,0,0,0,0,0,0,1,1
smelling,esmelling,5,0,0,0,1,0,0,1,0
smiles,smiles,25,0,0,0,0,0,1,0,0
smiles,semiles,0,0,0,0,0,0,0,1,1
smiles,esmiles,5,0,0,0,1,0,0,1,0
smith,smith,24,0,0,0,0,0,1,0,0
smith,semith,0,0,0,0,0,0,0,1,1
smith,esmith,5,0,0,0,1,0,0,1,0
smog,smog,27,0,0,0,0,0,1,0,0
smog,semog,0,0,0,0,0,0,0,1,1
smog,esmog,3,0,0,0,1,0,0,1,0
snag,snag,25,0,0,0,0,0,1,0,0
snag,senag,0,0,0,0,0,0,0,1,1
snag,esnag,5,0,0,0,1,0,0,1,0
snaps,snaps,24,0,0,0,0,0,1,0,0
snaps,senaps,0,0,0,0,0,0,0,1,1
snaps,esnaps,6,0,0,0,1,0,0,1,0
snatch,snatch,25,0,0,0,0,0,1,0,0
snatch,senatch,0,0,0,0,0,0,0,1,1
snatch,esnatch,5,0,0,0,1,0,0,1,0
sniffs,sniffs,23,0,0,0,0,0,1,0,0
sniffs,seniffs,0,0,0,0,0,0,0,1,1
sniffs,esniffs,7,0,0,0,1,0,0,1,0
snips,snips,25,0,0,0,0,0,1,0,0
snips,senips,0,0,0,0,0,0,0,1,1
snips,esnips,5,0,0,0,1,0,0,1,0
snoops,snoops,24,0,0,0,0,0,1,0,0
snoops,senoops,0,0,0,0,0,0,0,1,1
snoops,esnoops,6,0,0,0,1,0,0,1,0
snow,snow,26,0,0,0,0,0,1,0,0
snow,senow,0,0,0,0,0,0,0,1,1
snow,esnow,4,0,0,0,1,0,0,1,0
spark,spark,24,0,0,0,0,0,1,0,0
spark,separk,0,0,0,0,0,0,0,1,1
spark,espark,6,0,0,0,0,1,0,1,0
speed,speed,22,0,0,0,0,0,1,0,0
speed,sepeed,0,0,0,0,0,0,0,1,1
speed,espeed,8,0,0,0,0,1,0,1,0
start,start,40,0,0,0,0,0,1,0,0
start,setart,0,0,0,0,0,0,0,1,1
start,estart,11,0,0,0,0,1,0,1,0
starts,starts,27,0,0,0,0,0,1,0,0
starts,setarts,0,0,0,0,0,0,0,1,1
starts,estarts,10,0,0,0,0,1,0,1,0
steps,steps,24,0,0,0,0,0,1,0,0
steps,seteps,0,0,0,0,0,0,0,1,1
steps,esteps,6,0,0,0,0,1,0,1,0
stop,stop,26,0,0,0,0,0,1,0,0
stop,setop,0,0,0,0,0,0,0,1,1
stop,estop,4,0,0,0,0,1,0,1,0
swats,swats,28,0,0,0,0,0,1,0,0
swats,sewats,2,0,0,0,0,1,0,1,1
swats,eswats,0,0,1,0,0,0,0,1,0
sweeping,sweeping,25,0,0,0,0,0,1,0,0
sweeping,seweeping,4,0,0,0,0,1,0,1,1
sweeping,esweeping,0,0,1,0,0,0,0,1,0
sweeps,sweeps,28,0,0,0,0,0,1,0,0
sweeps,seweeps,1,0,0,0,0,1,0,1,1
sweeps,esweeps,1,0,1,0,0,0,0,1,0
swim,swim,27,0,0,0,0,0,1,0,0
swim,sewim,2,0,0,0,0,1,0,1,1
swim,eswim,1,0,1,0,0,0,0,1,0
swoon,swoon,25,0,0,0,0,0,1,0,0
