"Input","Output","Frequency","SyllableContact_4","SyllableContact_3","SyllableContact_2","SyllableContact_1","SyllableContact_-1","SyllableContact_-2","SyllableContact_-3","SyllableContact_-4","SyllableContact_-5","*Complex-S","*Complex-T","Dep","Contiguity"
"beautiful","beautiful-anaptyxis","0","","","","","1","","","","","","","1","1"
"beautiful","beautiful-none","2","","","","","","","","","","","1","",""
"beautiful","beautiful-prothesis","0","1","","","","","","","","","","","1",""
"breeze","breeze-anaptyxis","0","","","","","","1","","","","","","1","1"
"breeze","breeze-none","2","","","","","","","","","","","1","",""
"breeze","breeze-prothesis","0","","1","","","","","","","","","","1",""
"bring","bring-anaptyxis","0","","","","","","1","","","","","","1","1"
"bring","bring-none","2","","","","","","","","","","","1","",""
"bring","bring-prothesis","0","","1","","","","","","","","","","1",""
"brings","brings-anaptyxis","0","","","","","","1","","","","","","1","1"
"brings","brings-none","2","","","","","","","","","","","1","",""
"brings","brings-prothesis","0","","1","","","","","","","","","","1",""
"brother","brother-anaptyxis","0","","","","","","1","","","","","","1","1"
"brother","brother-none","2","","","","","","","","","","","1","",""
"brother","brother-prothesis","0","","1","","","","","","","","","","1",""
"bugle","bugle-anaptyxis","0","","","","","1","","","","","","","1","1"
"bugle","bugle-none","1","","","","","","","","","","","1","",""
"bugle","bugle-prothesis","0","1","","","","","","","","","","","1",""
"clean","clean-anaptyxis","0","","","","","","1","","","","","","1","1"
"clean","clean-none","2","","","","","","","","","","","1","",""
"clean","clean-prothesis","0","","1","","","","","","","","","","1",""
"creek","creek-anaptyxis","0","","","","","","1","","","","","","1","1"
"creek","creek-none","2","","","","","","","","","","","1","",""
"creek","creek-prothesis","0","","1","","","","","","","","","","1",""
"cute","cute-anaptyxis","0","","","","","1","","","","","","","1","1"
"cute","cute-none","2","","","","","","","","","","","1","",""
"cute","cute-prothesis","0","1","","","","","","","","","","","1",""
"dreaming","dreaming-anaptyxis","0","","","","","","1","","","","","","1","1"
"dreaming","dreaming-none","2","","","","","","","","","","","1","",""
"dreaming","dreaming-prothesis","0","","1","","","","","","","","","","1",""
"drink","drink-anaptyxis","0","","","","","","1","","","","","","1","1"
"drink","drink-none","2","","","","","","","","","","","1","",""
"drink","drink-prothesis","0","","1","","","","","","","","","","1",""
"dwarf","dwarf-anaptyxis","0","","","","","1","","","","","","","1","1"
"dwarf","dwarf-none","2","","","","","","","","","","","1","",""
"dwarf","dwarf-prothesis","0","1","","","","","","","","","","","1",""
"dwayne","dwayne-anaptyxis","0","","","","","1","","","","","","","1","1"
"dwayne","dwayne-none","2","","","","","","","","","","","1","",""
"dwayne","dwayne-prothesis","0","1","","","","","","","","","","","1",""
"flickering","flickering-anaptyxis","0","","","","","","1","","","","","","1","1"
"flickering","flickering-none","2","","","","","","","","","","","1","",""
"flickering","flickering-prothesis","0","","","1","","","","","","","","","1",""
"flock","flock-anaptyxis","0","","","","","","1","","","","","","1","1"
"flock","flock-none","2","","","","","","","","","","","1","",""
"flock","flock-prothesis","0","","","1","","","","","","","","","1",""
"floor","floor-anaptyxis","0","","","","","","1","","","","","","1","1"
"floor","floor-none","2","","","","","","","","","","","1","",""
"floor","floor-prothesis","0","","","1","","","","","","","","","1",""
"fly","fly-anaptyxis","0","","","","","","1","","","","","","1","1"
"fly","fly-none","2","","","","","","","","","","","1","",""
"fly","fly-prothesis","0","","","1","","","","","","","","","1",""
"flying","flying-anaptyxis","0","","","","","","1","","","","","","1","1"
"flying","flying-none","2","","","","","","","","","","","1","",""
"flying","flying-prothesis","0","","","1","","","","","","","","","1",""
"freaks","freaks-anaptyxis","0","","","","","","1","","","","","","1","1"
"freaks","freaks-none","2","","","","","","","","","","","1","",""
"freaks","freaks-prothesis","0","","","1","","","","","","","","","1",""
"gloves","gloves-anaptyxis","0","","","","","","1","","","","","","1","1"
"gloves","gloves-none","2","","","","","","","","","","","1","",""
"gloves","gloves-prothesis","0","","1","","","","","","","","","","1",""
"grabs","grabs-anaptyxis","0","","","","","","1","","","","","","1","1"
"grabs","grabs-none","2","","","","","","","","","","","1","",""
"grabs","grabs-prothesis","0","","1","","","","","","","","","","1",""
"ground","ground-anaptyxis","0","","","","","","1","","","","","","1","1"
"ground","ground-none","2","","","","","","","","","","","1","",""
"ground","ground-prothesis","0","","1","","","","","","","","","","1",""
"place","place-anaptyxis","0","","","","","","1","","","","","","1","1"
"place","place-none","2","","","","","","","","","","","1","",""
"place","place-prothesis","0","","1","","","","","","","","","","1",""
"please","please-anaptyxis","0","","","","","","1","","","","","","1","1"
"please","please-none","2","","","","","","","","","","","1","",""
"please","please-prothesis","0","","1","","","","","","","","","","1",""
"plethora","plethora-anaptyxis","1","","","","","","1","","","","","","1","1"
"plethora","plethora-none","1","","","","","","","","","","","1","",""
"plethora","plethora-prothesis","0","","1","","","","","","","","","","1",""
"quacks","quacks-anaptyxis","0","","","","","1","","","","","","","1","1"
"quacks","quacks-none","2","","","","","","","","","","","1","",""
"quacks","quacks-prothesis","0","1","","","","","","","","","","","1",""
"queen","queen-anaptyxis","0","","","","","1","","","","","","","1","1"
